id,pais,cultivo
ID_1710471084945,Costa Rica,coffee
ID_1710471263080,Costa Rica,coffee
ID_1710471577657,Costa Rica,coffee
ID_1710687819156,Honduras,bean
ID_1710852831454,Panamá,onion
ID_1710852977792,Panamá,tomato
ID_1711036950601,Panamá,coffee
ID_1711038621933,Panamá,coffee
ID_1711307829665,Nicaragua,cucumber
ID_1711380186735,Guatemala,pepper
ID_1711507647293,Panamá,onion
ID_1711558441531,Honduras,onion
ID_1712027770452,Honduras,tomato
ID_1712027770452,Honduras,tomato
ID_1712028148704,Honduras,tomato
ID_1712063488870,El Salvador,maize
ID_1712066808763,Panamá,onion
ID_1712066939146,Panamá,onion
ID_1712067022619,Panamá,onion
ID_1712067595302,Panamá,onion
ID_1712067737461,Panamá,onion
ID_1712067841815,Panamá,onion
ID_1712067955075,Panamá,onion
ID_1712068001858,Panamá,onion
ID_1712156019986,Panamá,tomato
ID_1712174549106,Panamá,tomato
ID_1712174671917,Panamá,tomato
ID_1712253261896,Honduras,onion
ID_1712253718793,Guatemala,pepper
ID_1712254310782,Honduras,cucumber
ID_1712341679433,Honduras,tomato
ID_1712341878680,Honduras,tomato
ID_1712584470379,Nicaragua,tomato
ID_1712584470379,Nicaragua,tomato
